[I 190407 07:29:44 main:190] Temperature: 31.86ºC; Humidity: 35.46%; Pressure: 98255.81Pa; CPU_Temperature: 40.08ºC
[I 190407 07:29:49 main:190] Temperature: 31.9ºC; Humidity: 35.71%; Pressure: 98258.3Pa; CPU_Temperature: 40.08ºC
[I 190407 07:29:55 main:190] Temperature: 31.9ºC; Humidity: 35.73%; Pressure: 98258.5Pa; CPU_Temperature: 40.62ºC
[I 190407 07:30:00 main:190] Temperature: 32.05ºC; Humidity: 35.42%; Pressure: 98257.37Pa; CPU_Temperature: 40.62ºC
[I 190407 07:30:05 main:190] Temperature: 32.03ºC; Humidity: 35.83%; Pressure: 98257.32Pa; CPU_Temperature: 41.16ºC
[I 190407 07:30:10 main:190] Temperature: 31.88ºC; Humidity: 35.41%; Pressure: 98259.35Pa; CPU_Temperature: 40.62ºC
[I 190407 07:30:15 main:190] Temperature: 32.05ºC; Humidity: 36.09%; Pressure: 98258.28Pa; CPU_Temperature: 41.16ºC
[I 190407 07:30:20 main:190] Temperature: 31.9ºC; Humidity: 35.19%; Pressure: 98257.98Pa; CPU_Temperature: 40.62ºC
[I 190407 07:30:25 main:190] Temperature: 31.9ºC; Humidity: 35.37%; Pressure: 98257.35Pa; CPU_Temperature: 40.08ºC
[I 190407 07:30:30 main:190] Temperature: 31.97ºC; Humidity: 35.56%; Pressure: 98257.15Pa; CPU_Temperature: 41.16ºC
[I 190407 07:30:35 main:190] Temperature: 31.99ºC; Humidity: 35.56%; Pressure: 98258.25Pa; CPU_Temperature: 41.16ºC
[I 190407 07:30:40 main:190] Temperature: 31.88ºC; Humidity: 35.07%; Pressure: 98258.03Pa; CPU_Temperature: 40.62ºC
[I 190407 07:30:45 main:190] Temperature: 31.92ºC; Humidity: 35.66%; Pressure: 98257.98Pa; CPU_Temperature: 40.08ºC
[I 190407 07:30:50 main:190] Temperature: 32.03ºC; Humidity: 35.61%; Pressure: 98255.3Pa; CPU_Temperature: 40.62ºC
[I 190407 07:30:55 main:190] Temperature: 32.01ºC; Humidity: 35.44%; Pressure: 98259.52Pa; CPU_Temperature: 41.16ºC
[I 190407 07:31:01 main:190] Temperature: 31.92ºC; Humidity: 35.68%; Pressure: 98257.35Pa; CPU_Temperature: 40.62ºC
[I 190407 07:31:06 main:190] Temperature: 31.9ºC; Humidity: 35.17%; Pressure: 98257.76Pa; CPU_Temperature: 40.08ºC
[I 190407 07:31:11 main:190] Temperature: 31.86ºC; Humidity: 35.66%; Pressure: 98257.91Pa; CPU_Temperature: 40.62ºC
[I 190407 07:31:16 main:190] Temperature: 31.93ºC; Humidity: 35.49%; Pressure: 98256.76Pa; CPU_Temperature: 40.62ºC
[I 190407 07:31:21 main:190] Temperature: 31.95ºC; Humidity: 35.78%; Pressure: 98260.86Pa; CPU_Temperature: 40.62ºC
[I 190407 07:31:26 main:190] Temperature: 31.88ºC; Humidity: 35.23%; Pressure: 98258.33Pa; CPU_Temperature: 40.62ºC
[I 190407 07:31:31 main:190] Temperature: 31.88ºC; Humidity: 35.47%; Pressure: 98259.86Pa; CPU_Temperature: 40.62ºC
[I 190407 07:31:36 main:190] Temperature: 31.92ºC; Humidity: 35.51%; Pressure: 98256.69Pa; CPU_Temperature: 40.62ºC
[I 190407 07:31:41 main:190] Temperature: 31.93ºC; Humidity: 35.89%; Pressure: 98255.22Pa; CPU_Temperature: 40.08ºC
[I 190407 07:31:46 main:190] Temperature: 31.93ºC; Humidity: 35.73%; Pressure: 98257.59Pa; CPU_Temperature: 40.08ºC
[I 190407 07:31:51 main:190] Temperature: 31.97ºC; Humidity: 35.42%; Pressure: 98254.66Pa; CPU_Temperature: 41.16ºC
[I 190407 07:31:56 main:190] Temperature: 31.92ºC; Humidity: 35.65%; Pressure: 98258.62Pa; CPU_Temperature: 41.16ºC
[I 190407 07:32:01 main:190] Temperature: 31.93ºC; Humidity: 35.85%; Pressure: 98259.96Pa; CPU_Temperature: 40.62ºC
[I 190407 07:32:07 main:190] Temperature: 31.82ºC; Humidity: 35.65%; Pressure: 98260.33Pa; CPU_Temperature: 40.62ºC
[I 190407 07:32:12 main:190] Temperature: 31.9ºC; Humidity: 34.93%; Pressure: 98262.48Pa; CPU_Temperature: 41.16ºC
[I 190407 07:32:17 main:190] Temperature: 31.97ºC; Humidity: 35.75%; Pressure: 98262.04Pa; CPU_Temperature: 40.08ºC
[I 190407 07:32:22 main:190] Temperature: 31.88ºC; Humidity: 35.39%; Pressure: 98262.55Pa; CPU_Temperature: 40.62ºC
[I 190407 07:32:27 main:190] Temperature: 31.93ºC; Humidity: 35.98%; Pressure: 98259.89Pa; CPU_Temperature: 40.62ºC
[I 190407 07:32:32 main:190] Temperature: 32.01ºC; Humidity: 35.74%; Pressure: 98257.25Pa; CPU_Temperature: 40.08ºC
[I 190407 07:32:37 main:190] Temperature: 31.95ºC; Humidity: 35.54%; Pressure: 98257.86Pa; CPU_Temperature: 40.62ºC
[I 190407 07:32:42 main:190] Temperature: 31.95ºC; Humidity: 35.58%; Pressure: 98256.81Pa; CPU_Temperature: 40.62ºC
[I 190407 07:32:47 main:190] Temperature: 31.93ºC; Humidity: 35.77%; Pressure: 98256.37Pa; CPU_Temperature: 40.62ºC
[I 190407 07:32:52 main:190] Temperature: 31.92ºC; Humidity: 35.65%; Pressure: 98258.91Pa; CPU_Temperature: 40.62ºC
[I 190407 07:32:57 main:190] Temperature: 31.93ºC; Humidity: 35.45%; Pressure: 98259.52Pa; CPU_Temperature: 40.62ºC
[I 190407 07:33:02 main:190] Temperature: 31.9ºC; Humidity: 36.1%; Pressure: 98259.52Pa; CPU_Temperature: 40.08ºC
[I 190407 07:33:08 main:190] Temperature: 31.88ºC; Humidity: 35.37%; Pressure: 98258.98Pa; CPU_Temperature: 40.08ºC
[I 190407 07:33:13 main:190] Temperature: 31.9ºC; Humidity: 35.8%; Pressure: 98254.71Pa; CPU_Temperature: 41.16ºC
